
['PA01AI01', '2019121915302362033904']
['PA01AR01', '2019.12.19']
['PA01BQ01', '王小二']
['PA01BD01', '身份证']
['PA01BI01', '622926198501293785']
['PA01BI02', '30510000100800']
['PA01BD02', '贷款审批']
['PA01ES01', '5']
['PB01AD01', '男']
['PB01AR01', '1970.01.08']
['PB01AD02', '本科']
['PB01AD03', '学士']
['PB01AD04', '职员']
['PB01AQ01', '8@qq.com']
['PB01AQ02', '朝阳区望京南湖东园8']
['PB01AD05', '美国']
['PB01AQ03', '户籍地址a8']
['PB01BS01', '5']
['PB01BQ01', '13800000006']
['PB01BR01', '2017.01.18']
['PB01BQ01', '13800000008']
['PB01BR01', '2017.01.18']
['PB01BQ01', '13800000007']
['PB01BR01', '2017.01.18']
['PB01BQ01', '13800000005']
['PB01BR01', '2017.01.17']
['PB01BQ01', '13800000004']
['PB01BR01', '2017.01.16']
['PB020D01', '已婚']
['PB020Q01', 'bb']
['PB020D02', '身份证']
['PB020I01', '150822198201239036']
['PB020Q02', '1有限公司1']
['PB020Q03', '13111111118']
['PB030D01', '集体宿舍']
['PB030Q01', '朝阳区望京南湖东园7']
['PB030Q02', '010-12345684']
['PB030R01', '2017.01.18']
['PB030D01', '自置']
['PB030Q01', '朝阳区望京南湖东园8']
['PB030Q02', '010-12345685']
['PB030R01', '2017.01.18']
['PB030D01', '亲属楼宇']
['PB030Q01', '朝阳区望京南湖东园6']
['PB030Q02', '010-12345683']
['PB030R01', '2017.01.18']
['PB030D01', '自置']
['PB030Q01', '朝阳区望京南湖东园5']
['PB030Q02', '010-12345682']
['PB030R01', '2017.01.17']
['PB030D01', '租房']
['PB030Q01', '朝阳区望京南湖东园4']
['PB030Q02', '010-12345681']
['PB030R01', '2017.01.16']
['PB040D01', '91']
['PB040Q01', '有限公司8']
['PB040D02', '国有企业']
['PB040D03', '房地产业']
['PB040Q02', '朝阳区望京南湖东园8']
['PB040Q03', '010-12345888']
['PB040D04', '国家机关、党群组织、企业、事业单位负责人']
['PB040D05', '一般员工']
['PB040D06', '高级']
['PB040R01', '2000.01.01']
['PB040R02', '2017.01.18']
['PB040D01', '91']
['PB040Q01', '5有限公司5']
['PB040D02', '其他（包括三资企业、民营企业、民间团体等）']
['PB040D03', '农、林、牧、渔业']
['PB040Q02', '朝阳区望京南湖东园5']
['PB040Q03', '010-12345555']
['PB040D04', '农、林、牧、渔、水利业生产人员']
['PB040D06', '初级']
['PB040R01', '2000.01.01']
['PB040R02', '2017.01.17']
['PB040D01', '91']
['PB040Q01', '4有限公司4']
['PB040D02', '个体、私营企业']
['PB040D03', '电力、热力、燃气及水生产和供应业']
['PB040Q02', '朝阳区望京南湖东园5']
['PB040Q03', '010-12345444']
['PB040D04', '专业技术人员']
['PB040D05', '中级领导']
['PB040D06', '无']
['PB040R01', '2000.01.01']
['PB040R02', '2017.01.16']
['PB040D01', '91']
['PB040Q01', '3有限公司3']
['PB040D02', '个体、私营企业']
['PB040D03', '租赁和商务服务业']
['PB040Q02', '朝阳区望京南湖东园3']
['PB040Q03', '010-12345333']
['PB040D04', '办事人员和有关人员']
['PB040D05', '一般员工']
['PB040D06', '初级']
['PB040R01', '2000.01.01']
['PB040R02', '2017.01.14']
['PB040D01', '91']
['PB040Q01', '2有限公司2']
['PB040D02', '外资企业']
['PB040D03', '制造业']
['PB040Q02', '朝阳区望京南湖东园2']
['PB040Q03', '010-12345222']
['PB040D04', '专业技术人员']
['PB040D05', '一般员工']
['PB040D06', '中级']
['PB040R01', '2000.01.01']
['PB040R02', '2017.01.14']
['PC010Q01', '644']
['PC010Q02', '60']
['PC010S01', '0']
['PC02AS01', '239']
['PC02AS02', '5']
['PC02AD01', '个人住房贷款']
['PC02AD02', '贷款']
['PC02AS03', '43']
['PC02AR01', '2010.10.01']
['PC02AD01', '个人商用房贷款（包括商住两用房）']
['PC02AD02', '贷款']
['PC02AS03', '21']
['PC02AR01', '2011.01.01']
['PC02AD01', '其他类贷款']
['PC02AD02', '贷款']
['PC02AS03', '40']
['PC02AR01', '2011.01.01']
['PC02AD01', '贷记卡']
['PC02AD02', '信用卡']
['PC02AS03', '25']
['PC02AR01', '2007.01.01']
['PC02AD01', '准贷记卡']
['PC02AD02', '信用卡']
['PC02AS03', '18']
['PC02AR01', '2009.10.01']
['PC02BS01', '5']
['PC02BJ01', '300']
['PC02BS02', '2']
['PC02BD01', '资产处置业务']
['PC02BS03', '3']
['PC02BJ02', '200']
['PC02BD01', '垫款业务']
['PC02BS03', '2']
['PC02BJ02', '100']
['PC02CS01', '34']
['PC02CJ01', '11434']
['PC02DS01', '5']
['PC02DD01', '非循环贷账户']
['PC02DS02', '38']
['PC02DS03', '17']
['PC02DJ01', '1500']
['PC02DS04', '7']
['PC02DD01', '循环额度下分账户']
['PC02DS02', '36']
['PC02DS03', '16']
['PC02DJ01', '1500']
['PC02DS04', '7']
['PC02DD01', '循环贷账户']
['PC02DS02', '37']
['PC02DS03', '16']
['PC02DJ01', '1500']
['PC02DS04', '7']
['PC02DD01', '贷记卡账户']
['PC02DS02', '14']
['PC02DS03', '12']
['PC02DJ01', '23200']
['PC02DS04', '7']
['PC02DD01', '准贷记卡账户']
['PC02DS02', '7']
['PC02DS03', '6']
['PC02DJ01', '100000']
['PC02DS04', '7']
['PC02ES01', '3']
['PC02ES02', '43']
['PC02EJ01', '240116']
['PC02EJ02', '6515964']
['PC02EJ03', '288167']
['PC02FS01', '1']
['PC02FS02', '37']
['PC02FJ01', '200022']
['PC02FJ02', '6513958']
['PC02FJ03', '283147']
['PC02GS01', '1']
['PC02GS02', '38']
['PC02GJ01', '200018']
['PC02GJ02', '6514961']
['PC02GJ03', '283167']
['PC02HS01', '2']
['PC02HS02', '20']
['PC02HJ01', '200002']
['PC02HJ02', '100002']
['PC02HJ03', '100002']
['PC02HJ04', '11606']
['PC02HJ05', '16940']
['PC02IS01', '1']
['PC02IS02', '13']
['PC02IJ01', '200002']
['PC02IJ02', '100003']
['PC02IJ03', '100003']
['PC02IJ04', '143002']
['PC02IJ05', '123352']
['PC02KS01', '4']
['PC02KD01', '自然人']
['PC02KD02', '担保责任']
['PC02KS02', '6']
['PC02KJ01', '8505']
['PC02KJ02', '30005']
['PC02KD01', '自然人']
['PC02KD02', '其他相关还款责任']
['PC02KS02', '10']
['PC02KJ01', '15210']
['PC02KJ02', '80108']
['PC02KD01', '组织机构']
['PC02KD02', '担保责任']
['PC02KS02', '1']
['PC02KJ01', '1000']
['PC02KJ02', '10000']
['PC02KD01', '组织机构']
['PC02KD02', '其他相关还款责任']
['PC02KS02', '6']
['PC02KJ01', '8128']
['PC02KJ02', '162380']
['PC030S01', '2']
['PC030D01', '电信业务']
['PC030S02', '2']
['PC030J01', '440']
['PC030D01', '自来水业务']
['PC040S01', '4']
['PC040D01', '欠税信息']
['PC040S02', '3']
['PC040J01', '3000']
['PC040D01', '民事判决信息']
['PC040S02', '1']
['PC040J01', '110']
['PC040D01', '强制执行信息']
['PC040S02', '8']
['PC040J01', '4800']
['PC040D01', '行政处罚信息']
['PC040S02', '8']
['PC040J01', '15000']
['PC05AR01', '2019.12.19']
['PC05AD01', '商业银行']
['PC05AI01', 'YX']
['PC05AQ01', '信用卡审批']
['PC05BS01', '8']
['PC05BS02', '1']
['PC05BS03', '8']
['PC05BS04', '2']
['PC05BS05', '0']
['PC05BS06', '11']
['PC05BS07', '2']
['PC05BS08', '1']
['PD01AD01', 'C1']
['PD01AD02', '商业银行']
['PD01AI02', 'QU']
['PD01AD03', '代偿债务']
['PD01AR01', '2009.06.10']
['PD01AJ01', '1000']
['PD01AD10', '0']
['PD01BD01', '催收']
['PD01BJ01', '100']
['PD01BR02', '2013.12.18']
['PD01BR03', '2013.12.18']
['PD01AD01', 'C1']
['PD01AD02', '商业银行']
['PD01AI02', 'QU']
['PD01AD03', '资产处置']
['PD01AR01', '2009.06.10']
['PD01AJ01', '30']
['PD01AD10', '5']
['PD01BD01', '催收']
['PD01BJ01', '0']
['PD01BR02', '2013.12.18']
['PD01BR03', '2013.12.18']
['PD01AD01', 'C1']
['PD01AD02', '商业银行']
['PD01AI02', 'QU']
['PD01AD03', '代偿债务']
['PD01AR01', '2009.06.20']
['PD01AJ01', '100']
['PD01AD10', '3']
['PD01BD01', '催收']
['PD01BJ01', '0']
['PD01BR02', '2013.12.19']
['PD01BR03', '2013.12.19']
['PD01AD01', 'C1']
['PD01AD02', '商业银行']
['PD01AI02', 'QU']
['PD01AD03', '资产处置']
['PD01AR01', '2009.06.20']
['PD01AJ01', '30']
['PD01AD10', '7']
['PD01BD01', '催收']
['PD01BJ01', '100']
['PD01BR02', '2013.12.19']
['PD01BR03', '2013.12.19']
['PD01AD01', 'C1']
['PD01AD02', '商业银行']
['PD01AI02', 'QU']
['PD01AD03', '资产处置']
['PD01AR01', '2015.06.01']
['PD01AJ01', '100']
['PD01AD10', '2']
['PD01BD01', '催收']
['PD01BJ01', '100']
['PD01BR02', '2016.07.01']
['PD01BR03', '2016.07.01']
['PD01FS01', '12']
['PD01FD01', '展期']
['PD01FR01', '2016.02.01']
['PD01FS02', '1']
['PD01FJ01', '1000']
['PD01FQ01', '展期']
['PD01FD01', '担保人（第三方）代偿']
['PD01FR01', '2016.02.02']
['PD01FS02', '0']
['PD01FJ01', '1000']
['PD01FQ01', '担保人(第三方)代偿']
['PD01FD01', '以资抵债']
['PD01FR01', '2016.02.03']
['PD01FS02', '0']
['PD01FJ01', '1000']
['PD01FQ01', '以资抵债']
['PD01FD01', '提前还款']
['PD01FR01', '2016.03.01']
['PD01FS02', '4']
['PD01FJ01', '1000']
['PD01FQ01', '提前还款']
['PD01FD01', '提前结清']
['PD01FR01', '2016.03.02']
['PD01FS02', '0']
['PD01FJ01', '1000']
['PD01FQ01', '提前结清']
['PD01FD01', '司法追偿']
['PD01FR01', '2016.03.03']
['PD01FS02', '0']
['PD01FJ01', '1000']
['PD01FQ01', '司法追偿']
['PD01FD01', '债务减免']
['PD01FR01', '2016.04.01']
['PD01FS02', '0']
['PD01FJ01', '1000']
['PD01FQ01', '债务减免']
['PD01FD01', '资产剥离']
['PD01FR01', '2016.04.02']
['PD01FS02', '0']
['PD01FJ01', '1000']
['PD01FQ01', '资产剥离']
['PD01FD01', '资产转让']
['PD01FR01', '2016.04.03']
['PD01FS02', '0']
['PD01FJ01', '1000']
['PD01FQ01', '资产转让']
['PD01FD01', '信用卡个性化分期']
['PD01FR01', '2016.05.01']
['PD01FS02', '14']
['PD01FJ01', '1000']
['PD01FQ01', '信用卡个性化分期']
['PD01FD01', '银行主动延期']
['PD01FR01', '2016.05.03']
['PD01FS02', '16']
['PD01FJ01', '1000']
['PD01FQ01', '银行主动延期']
['PD01FD01', '强制平仓']
['PD01FR01', '2016.05.04']
['PD01FS02', '0']
['PD01FJ01', '1000']
['PD01FQ01', '强制平仓']
['PD01AD01', 'D1']
['PD01AD02', '村镇银行']
['PD01AI02', 'GQ']
['PD01AI03', '******']
['PD01AD03', '个人住房商业贷款']
['PD01AR01', '2012.01.10']
['PD01AD04', '美元']
['PD01AJ01', '1400']
['PD01AR02', '2020.12.20']
['PD01AD05', '分期等额本息']
['PD01AD06', '年']
['PD01AS01', '14']
['PD01AD07', '信用/免担保']
['PD01AD09', '无']
['PD01BD01', '呆账']
['PD01BJ01', '500']
['PD01BR02', '2012.02.19']
['PD01BR03', '2012.10.20']
['PD01AD01', 'D1']
['PD01AD02', '村镇银行']
['PD01AI02', 'GQ']
['PD01AI03', '******']
['PD01AD03', '个人商用房（含商住两用）贷款']
['PD01AR01', '2012.01.12']
['PD01AD04', '日元']
['PD01AJ01', '1400']
['PD01AR02', '2020.12.20']
['PD01AD05', '分期等额本息']
['PD01AD06', '年']
['PD01AS01', '14']
['PD01AD07', '信用/免担保']
['PD01AD09', '无']
['PD01BD01', '呆账']
['PD01BJ01', '500']
['PD01BR02', '2012.02.19']
['PD01BR03', '2012.10.20']
['PD01AD01', 'D1']
['PD01AD02', '村镇银行']
['PD01AI02', 'GQ']
['PD01AI03', '******']
['PD01AD03', '个人汽车消费贷款']
['PD01AR01', '2012.01.14']
['PD01AD04', '人民币元']
['PD01AJ01', '1400']
['PD01AR02', '2020.12.20']
['PD01AD05', '分期等额本息']
['PD01AD06', '年']
['PD01AS01', '14']
['PD01AD07', '信用/免担保']
['PD01AD09', '无']
['PD01BD01', '呆账']
['PD01BJ01', '500']
['PD01BR02', '2012.02.19']
['PD01BR03', '2012.10.20']
['PD01AD01', 'D1']
['PD01AD02', '村镇银行']
['PD01AI02', 'GQ']
['PD01AI03', '******']
['PD01AD03', '约定购回式证券交易']
